Frame	Time	Elec	VdW	Nonbond
147	29.4	-249.138	-12.6495	-261.787
148	29.6	-266.712	-22.1608	-288.872
149	29.8	-264.07	-25.1025	-289.173
150	30	-224.5	-23.535	-248.035
151	30.2	-298.176	-28.6488	-326.825
152	30.4	-261.99	-25.9362	-287.926
153	30.6	-190.994	-38.2166	-229.211
154	30.8	-273.849	-30.9883	-304.837
155	31	-360.111	-43.0767	-403.187
156	31.2	-391.494	-36.8449	-428.339
157	31.4	-292.273	-33.405	-325.678
158	31.6	-344.791	-34.5739	-379.365
159	31.8	-199.623	-13.5552	-213.178
160	32	-333.689	-29.4755	-363.164
161	32.2	-341.364	-35.3906	-376.754
162	32.4	-263.201	-46.4791	-309.68
163	32.6	-354.051	-22.9851	-377.037
164	32.8	-278.303	-34.9506	-313.253
165	33	-214.88	-29.9121	-244.792
166	33.2	-301.772	-30.4944	-332.266
167	33.4	-233.798	-28.7809	-262.579
168	33.6	-371.369	-46.9043	-418.273
169	33.8	-285.033	-32.3131	-317.346
170	34	-171.704	-29.9109	-201.615
171	34.2	-180.19	-41.3939	-221.583
172	34.4	-129.426	-33.977	-163.403
173	34.6	-206.986	-35.8287	-242.814
174	34.8	-278.44	-36.241	-314.681
175	35	-205.428	-50.1756	-255.604
176	35.2	-146.499	-28.1647	-174.664
177	35.4	-152.353	-40.0678	-192.421
178	35.6	-133.779	-33.8827	-167.662
179	35.8	-306.074	-22.084	-328.158
180	36	-289.2	-30.7158	-319.916
181	36.2	-324.066	-31.4212	-355.487
182	36.4	-288.977	-34.6254	-323.603
183	36.6	-555.01	-44.589	-599.599
184	36.8	-446.132	-37.8688	-484.001
185	37	-486.032	-37.4686	-523.5
186	37.2	-332.822	-36.3151	-369.137
187	37.4	-387.468	-35.3547	-422.822
188	37.6	-452.796	-29.9091	-482.705
189	37.8	-435.967	-34.9435	-470.91
190	38	-467.41	-30.5096	-497.92
191	38.2	-558.942	-38.0351	-596.977
192	38.4	-543.073	-21.7888	-564.862
193	38.6	-472.071	-42.8908	-514.962
194	38.8	-594.335	-45.0675	-639.403
195	39	-779.731	-56.0684	-835.8
196	39.2	-708.196	-47.0714	-755.267
197	39.4	-528.506	-46.0861	-574.592
198	39.6	-344.423	-51.5808	-396.004
199	39.8	-464.421	-68.281	-532.702
200	40	-493.373	-41.5497	-534.923
201	40.2	-490.857	-61.5174	-552.375
202	40.4	-722.943	-46.3761	-769.319
203	40.6	-502.842	-40.9855	-543.828
204	40.8	-497.23	-37.7458	-534.976
205	41	-373.403	-40.1442	-413.547
206	41.2	-718.517	-58.6537	-777.17
207	41.4	-536.165	-46.7325	-582.898
208	41.6	-557.623	-22.8764	-580.499
209	41.8	-427.779	-32.3057	-460.084
210	42	-323.192	-33.0217	-356.213
211	42.2	-336.618	-37.408	-374.026
212	42.4	-356.929	-32.1924	-389.121
213	42.6	-234.754	-17.3335	-252.087
214	42.8	-57.747	-17.7477	-75.4947
215	43	-267.14	-20.5091	-287.649
216	43.2	-370.843	-33.7602	-404.604
217	43.4	-357.832	-29.7583	-387.591
218	43.6	-255.993	-24.2863	-280.279
219	43.8	-237.976	-27.8103	-265.786
220	44	-232.192	-24.1074	-256.299
221	44.2	-279.339	-32.7488	-312.087
222	44.4	-382.649	-42.1373	-424.786
223	44.6	-431.422	-32.1136	-463.536
224	44.8	-434.486	-46.5806	-481.067
225	45	-539.722	-36.4376	-576.159
226	45.2	-580.671	-33.1958	-613.867
227	45.4	-778.415	-39.8641	-818.279
228	45.6	-758.192	-44.9646	-803.156
229	45.8	-621.908	-42.0407	-663.948
230	46	-798.559	-48.8385	-847.398
231	46.2	-540.953	-27.206	-568.159
232	46.4	-409.279	-40.629	-449.908
233	46.6	-510.487	-39.912	-550.399
234	46.8	-544.621	-34.9748	-579.596
235	47	-541.683	-54.5446	-596.227
236	47.2	-365.713	-32.9127	-398.626
237	47.4	-422.979	-34.5395	-457.519
238	47.6	-329.793	-29.9607	-359.754
239	47.8	-305.481	-24.6308	-330.112
240	48	-235.333	-21.234	-256.567
241	48.2	-99.3222	-9.6119	-108.934
242	48.4	-153.037	-11.3661	-164.404
243	48.6	-241.619	-23.1337	-264.753
244	48.8	-197.823	-13.8807	-211.704
245	49	-172.293	-20.4541	-192.747
246	49.2	-252.419	-11.5457	-263.965
247	49.4	-337.111	-16.5742	-353.686
248	49.6	-266.764	-16.6409	-283.405
249	49.8	-225.599	-23.7782	-249.378
250	50	-364.617	-28.4135	-393.03
251	50.2	-436.604	-28.5409	-465.145
252	50.4	-339.664	-16.8979	-356.562
253	50.6	-284.895	-17.6122	-302.507
254	50.8	-467.527	-13.8849	-481.412
255	51	-395.179	-13.1978	-408.377
256	51.2	-322.24	-30.0426	-352.282
257	51.4	-353.36	-34.209	-387.569
258	51.6	-498.922	-39.0808	-538.003
259	51.8	-443.38	-28.8539	-472.234
260	52	-397.892	-35.3173	-433.21
261	52.2	-371.67	-30.7774	-402.447
262	52.4	-610.591	-33.1918	-643.783
263	52.6	-634.284	-24.9863	-659.27
264	52.8	-415.082	-21.5479	-436.63
265	53	-531.522	-31.018	-562.54
266	53.2	-525.333	-34.8672	-560.2
