Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0.3549       -0.3825       -0.0276       -0.0276       
1             1             -0.1031       -1.2552       -1.3583       -1.3583       
2             2             -0.3492       -0.952        -1.3012       -1.3012       
3             3             +0.7432       -2.2621       -1.5189       -1.5189       
4             4             +1.1162       -1.63         -0.5138       -0.5138       
5             5             +0.4418       -0.7986       -0.3568       -0.3568       
6             6             +0.8669       -0.8976       -0.0307       -0.0307       
7             7             +0.7483       -1.059        -0.3107       -0.3107       
8             8             +0.7944       -1.3918       -0.5974       -0.5974       
9             9             +0.916        -0.1383       +0.7777       +0.7777       
10            10            +0.6569       -1.1753       -0.5184       -0.5184       
11            11            +0.7805       -0.5048       +0.2757       +0.2757       
12            12            +0.9532       -1.1459       -0.1927       -0.1927       
13            13            +0.2467       -0.2796       -0.0329       -0.0329       
14            14            +0.5079       -1.2249       -0.717        -0.717        
15            15            +0.3261       -0.1936       +0.1325       +0.1325       
16            16            +0.5494       -0.1449       +0.4045       +0.4045       
17            17            +0.7786       -0.0779       +0.7007       +0.7007       
18            18            +0.5912       -0.1082       +0.483        +0.483        
19            19            +0.7184       -0.2806       +0.4378       +0.4378       
20            20            +0.6758       -0.9295       -0.2537       -0.2537       
21            21            +0.1471       -0.0122       +0.1349       +0.1349       
22            22            +0.2561       -0.1097       +0.1464       +0.1464       
23            23            +0.443        -0.0525       +0.3905       +0.3905       
24            24            +0.5015       -0.1032       +0.3983       +0.3983       
25            25            +0.0848       -0.0046       +0.0802       +0.0802       
26            26            +0.872        -0.0653       +0.8067       +0.8067       
27            27            +0.6333       -0.0796       +0.5537       +0.5537       
28            28            +1.1476       -0.5972       +0.5504       +0.5504       
29            29            +0.5106       -0.1097       +0.4009       +0.4009       
30            30            +0.108        -0.0373       +0.0707       +0.0707       
31            31            +0.895        -1.3201       -0.4251       -0.4251       
32            32            +0.9861       -1.3899       -0.4038       -0.4038       
33            33            +0.8023       -1.1968       -0.3945       -0.3945       
34            34            +1.0172       -2.5314       -1.5142       -1.5142       
35            35            +1.8925       -0.9108       +0.9817       +0.9817       
36            36            +0.8675       -0.7611       +0.1064       +0.1064       
37            37            +1.5938       -1.3317       +0.2621       +0.2621       
38            38            +1.3122       -0.7287       +0.5835       +0.5835       
39            39            +1.3504       -1.0903       +0.2601       +0.2601       
40            40            +0.9824       -0.937        +0.0454       +0.0454       
41            41            +0.7058       -0.59         +0.1158       +0.1158       
42            42            +1.166        -1.3087       -0.1427       -0.1427       
43            43            +1.1969       -1.5803       -0.3834       -0.3834       
44            44            +0.884        -1.399        -0.515        -0.515        
45            45            +1.2398       -1.0961       +0.1437       +0.1437       
46            46            +0.8263       -1.2401       -0.4138       -0.4138       
47            47            +1.1003       -1.2359       -0.1356       -0.1356       
48            48            +0.8397       -0.8733       -0.0336       -0.0336       
49            49            +0.4593       -0.3083       +0.151        +0.151        
50            50            +0.5662       -2.2882       -1.722        -1.722        
51            51            +0.0575       -1.5032       -1.4457       -1.4457       
52            52            +0.3896       -1.7633       -1.3737       -1.3737       
53            53            +1.0428       -0.6548       +0.388        +0.388        
54            54            +1.1225       -1.4869       -0.3644       -0.3644       
