Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.5187       -1.0724       -1.5911       -1.5911       
1             1             -0.071        -0.4457       -0.5167       -0.5167       
2             2             -0.2686       -0.9663       -1.2349       -1.2349       
3             3             +0.0581       -0.0051       +0.053        +0.053        
4             4             -0.1261       -0.0042       -0.1303       -0.1303       
5             5             -0.1454       -0.0128       -0.1582       -0.1582       
6             6             -0.2964       -0.0419       -0.3383       -0.3383       
7             7             +0.1324       -0.0076       +0.1248       +0.1248       
8             8             +0.0622       -0            +0.0622       +0.0622       
9             9             +0            +0            +0            +0            
10            10            +0.0071       -0.0001       +0.007        +0.007        
11            11            +0            +0            +0            +0            
12            12            +0            +0            +0            +0            
13            13            +0            +0            +0            +0            
14            14            +0            +0            +0            +0            
15            15            +0            +0            +0            +0            
16            16            +0            +0            +0            +0            
17            17            +0            +0            +0            +0            
18            18            +0            +0            +0            +0            
19            19            +0            +0            +0            +0            
20            20            +0            +0            +0            +0            
21            21            +0            +0            +0            +0            
22            22            +0            +0            +0            +0            
23            23            +0.032        -0.0003       +0.0317       +0.0317       
24            24            +0            +0            +0            +0            
25            25            +0            +0            +0            +0            
26            26            -0.0151       -0.0002       -0.0153       -0.0153       
27            27            +0.0427       -0.0002       +0.0425       +0.0425       
28            28            +0.1033       -0.0019       +0.1014       +0.1014       
29            29            +0.0922       -0.0023       +0.0899       +0.0899       
30            30            -0.0704       -0.0014       -0.0718       -0.0718       
31            31            +0            +0            +0            +0            
32            32            +0            +0            +0            +0            
33            33            +0.0001       -0            +0.0001       +0.0001       
34            34            +0.0049       -0            +0.0049       +0.0049       
35            35            -0.0418       -0.0003       -0.0421       -0.0421       
36            36            +0.1218       -0.0008       +0.121        +0.121        
37            37            +0.0233       -0.0002       +0.0231       +0.0231       
38            38            -0.0247       -0.0001       -0.0248       -0.0248       
39            39            -0.0068       -0            -0.0068       -0.0068       
40            40            +0            +0            +0            +0            
41            41            -0.0728       -0.0009       -0.0737       -0.0737       
