Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.3493       -0.1026       -0.4519       -0.4519       
1             1             -0.4372       -0.2437       -0.6809       -0.6809       
2             2             -0.5106       -0.673        -1.1836       -1.1836       
3             3             -0.3015       -0.2821       -0.5836       -0.5836       
4             4             -0.3677       -0.0846       -0.4523       -0.4523       
5             5             -0.4476       -0.1114       -0.559        -0.559        
6             6             -0.9283       -0.2088       -1.1371       -1.1371       
7             7             -0.6625       -0.1085       -0.771        -0.771        
8             8             -0.4984       -0.1147       -0.6131       -0.6131       
9             9             -0.1399       -0.0361       -0.176        -0.176        
10            10            -0.3961       -0.0268       -0.4229       -0.4229       
11            11            -0.768        -0.1238       -0.8918       -0.8918       
12            12            -0.6368       -0.0673       -0.7041       -0.7041       
13            13            -0.3877       -0.1008       -0.4885       -0.4885       
14            14            -0.5926       -0.1052       -0.6978       -0.6978       
15            15            -0.5923       -0.1641       -0.7564       -0.7564       
16            16            -1.0087       -0.1881       -1.1968       -1.1968       
17            17            -0.5636       -0.146        -0.7096       -0.7096       
18            18            -0.7625       -0.1778       -0.9403       -0.9403       
19            19            -1.1649       -0.2263       -1.3912       -1.3912       
20            20            -0.9469       -0.1557       -1.1026       -1.1026       
21            21            -1.1183       -0.2474       -1.3657       -1.3657       
22            22            -0.7989       -0.0241       -0.823        -0.823        
23            23            -1.04         -0.139        -1.179        -1.179        
24            24            -0.5746       -0.0394       -0.614        -0.614        
25            25            -0.5659       -0.0113       -0.5772       -0.5772       
26            26            -0.0567       -0.0032       -0.0599       -0.0599       
27            27            -0.0996       -0.0001       -0.0997       -0.0997       
28            28            -0.1106       -0.0001       -0.1107       -0.1107       
29            29            -0.1464       -0.0006       -0.147        -0.147        
30            30            +0            +0            +0            +0            
31            31            -0.0682       -0            -0.0682       -0.0682       
32            32            -0.0592       -0            -0.0592       -0.0592       
33            33            -0.1482       -0.0014       -0.1496       -0.1496       
34            34            -0.0238       -0.0056       -0.0294       -0.0294       
35            35            -0.2192       -0.0006       -0.2198       -0.2198       
36            36            -0.3491       -0.0359       -0.385        -0.385        
37            37            -0.3101       -0.0162       -0.3263       -0.3263       
38            38            -0.3151       -0.0199       -0.335        -0.335        
39            39            -0.0997       -0.0019       -0.1016       -0.1016       
40            40            -0.2245       -0.0004       -0.2249       -0.2249       
41            41            -0.1399       -0.0018       -0.1417       -0.1417       
42            42            -0.1272       -0.0009       -0.1281       -0.1281       
43            43            -0.1744       -0.0018       -0.1762       -0.1762       
44            44            -0.2328       -0.0006       -0.2334       -0.2334       
45            45            -0.1551       -0.0006       -0.1557       -0.1557       
46            46            -0.1965       -0.0014       -0.1979       -0.1979       
47            47            -0.0354       -0.0053       -0.0407       -0.0407       
48            48            -0.2199       -0.016        -0.2359       -0.2359       
