Frame         Time          Elec          VdW           Nonbond       Total         
0             0             +0.3107       -0.0271       +0.2836       +0.2836       
1             1             +0.8313       -0.0671       +0.7642       +0.7642       
2             2             +0.0001       -0.0059       -0.0058       -0.0058       
3             3             -0.3107       -0.0075       -0.3182       -0.3182       
4             4             -0.0814       -0.0003       -0.0817       -0.0817       
5             5             +0.2055       -0.0018       +0.2037       +0.2037       
6             6             -0.001        -0.0001       -0.0011       -0.0011       
7             7             -0.0943       -0.0002       -0.0945       -0.0945       
8             8             -0.0583       -0.0011       -0.0594       -0.0594       
9             9             -0.1071       -0.0003       -0.1074       -0.1074       
10            10            -0.2075       -0.0053       -0.2128       -0.2128       
11            11            +0.173        -0.0011       +0.1719       +0.1719       
12            12            -0.3555       -0.0012       -0.3567       -0.3567       
13            13            -0.2531       -0.0007       -0.2538       -0.2538       
14            14            -0.225        -0.0008       -0.2258       -0.2258       
15            15            +0.0363       -0            +0.0363       +0.0363       
16            16            -0.0034       -0            -0.0034       -0.0034       
17            17            +0.0694       -0.0003       +0.0691       +0.0691       
18            18            +0.1554       -0.0008       +0.1546       +0.1546       
19            19            -0.0168       -0.0001       -0.0169       -0.0169       
20            20            -0.4888       -0.0036       -0.4924       -0.4924       
21            21            +0            +0            +0            +0            
22            22            -0.0378       -0            -0.0378       -0.0378       
23            23            +0.0332       -0            +0.0332       +0.0332       
24            24            -0.1159       -0.0004       -0.1163       -0.1163       
25            25            +0            -0            +0            +0            
26            26            -0.3329       -0.0017       -0.3346       -0.3346       
27            27            -0.1997       -0.001        -0.2007       -0.2007       
28            28            +0.4144       -0.0029       +0.4115       +0.4115       
29            29            +0.156        -0.0011       +0.1549       +0.1549       
30            30            +0.0417       -0.0009       +0.0408       +0.0408       
31            31            +0.4267       -0.0224       +0.4043       +0.4043       
32            32            +0.2483       -0.0008       +0.2475       +0.2475       
33            33            +0.0175       -0.0016       +0.0159       +0.0159       
34            34            -0.0356       -0.0012       -0.0368       -0.0368       
35            35            +0.0929       -0.0044       +0.0885       +0.0885       
