Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.3498       -0.0018       -0.3516       -0.3516       
1             1             -0.1207       -0.0023       -0.123        -0.123        
2             2             -4.0576       -0.1939       -4.2515       -4.2515       
3             3             -2.131        -0.617        -2.748        -2.748        
4             4             -2.016        -1.4134       -3.4294       -3.4294       
5             5             -2.6605       -0.5696       -3.2301       -3.2301       
6             6             -2.6333       -0.7659       -3.3992       -3.3992       
7             7             -3.0958       -0.7236       -3.8194       -3.8194       
8             8             -2.8495       -0.6936       -3.5431       -3.5431       
9             9             -1.5859       -0.0534       -1.6393       -1.6393       
10            10            -2.6899       -0.2382       -2.9281       -2.9281       
11            11            -2.1092       -0.0792       -2.1884       -2.1884       
12            12            -0.7033       -0.0478       -0.7511       -0.7511       
13            13            -2.2102       -0.1795       -2.3897       -2.3897       
14            14            -1.5495       -0.0893       -1.6388       -1.6388       
15            15            -2.408        -0.017        -2.425        -2.425        
16            16            -2.27         -0.0225       -2.2925       -2.2925       
17            17            -2.7878       -0.0342       -2.822        -2.822        
18            18            -1.1481       -0.0198       -1.1679       -1.1679       
19            19            -0.0998       -0.0192       -0.119        -0.119        
20            20            -0.7506       -0.0151       -0.7657       -0.7657       
21            21            +0.4727       -0.1536       +0.3191       +0.3191       
22            22            +0.5885       -1.2327       -0.6442       -0.6442       
23            23            +0.0664       -0.1251       -0.0587       -0.0587       
24            24            -1.3996       -0.0936       -1.4932       -1.4932       
25            25            -0.2813       -0.1123       -0.3936       -0.3936       
26            26            +0.0726       -0.1172       -0.0446       -0.0446       
27            27            +0.0787       -1.1219       -1.0432       -1.0432       
28            28            +0.2336       -0.5916       -0.358        -0.358        
29            29            +0.2896       -0.2185       +0.0711       +0.0711       
30            30            -1.0441       -0.1118       -1.1559       -1.1559       
31            31            -0.1318       -0.762        -0.8938       -0.8938       
32            32            -0.5962       -0.516        -1.1122       -1.1122       
33            33            -1.2703       -0.774        -2.0443       -2.0443       
34            34            -0.7857       -1.0624       -1.8481       -1.8481       
35            35            -0.0907       -0.2581       -0.3488       -0.3488       
36            36            -0.5024       -0.1752       -0.6776       -0.6776       
37            37            -0.1078       -0.1011       -0.2089       -0.2089       
38            38            -0.4292       -0.109        -0.5382       -0.5382       
39            39            -1.1752       -0.6319       -1.8071       -1.8071       
40            40            -0.2817       -0.984        -1.2657       -1.2657       
41            41            -1.4017       -0.0882       -1.4899       -1.4899       
42            42            +0.334        -1.1669       -0.8329       -0.8329       
43            43            -1.6009       -1.2737       -2.8746       -2.8746       
44            44            +0.3931       -0.9727       -0.5796       -0.5796       
45            45            +0.4527       -0.9691       -0.5164       -0.5164       
46            46            -0.1543       -0.9154       -1.0697       -1.0697       
47            47            -0.7934       -0.913        -1.7064       -1.7064       
48            48            -1.1445       -0.5184       -1.6629       -1.6629       
49            49            +0.149        -0.0492       +0.0998       +0.0998       
50            50            -2.0286       -0.272        -2.3006       -2.3006       
51            51            -1.3449       -0.8823       -2.2272       -2.2272       
52            52            +0.3874       -0.8861       -0.4987       -0.4987       
53            53            +0.3765       -0.1217       +0.2548       +0.2548       
54            54            -0.5531       -0.1713       -0.7244       -0.7244       
55            55            -0.2994       -0.8868       -1.1862       -1.1862       
56            56            +0.464        -0.9058       -0.4418       -0.4418       
57            57            -0.195        -0.963        -1.158        -1.158        
58            58            +1.3401       -1.0875       +0.2526       +0.2526       
59            59            +0.8145       -0.6603       +0.1542       +0.1542       
60            60            +0.0803       -1.6786       -1.5983       -1.5983       
61            61            -0.0688       -1.3727       -1.4415       -1.4415       
62            62            -0.0333       -0.7566       -0.7899       -0.7899       
63            63            -1.2221       -1.5146       -2.7367       -2.7367       
64            64            +0.4406       -2.1701       -1.7295       -1.7295       
65            65            -0.5953       -0.9216       -1.5169       -1.5169       
66            66            +0.0857       -1.8275       -1.7418       -1.7418       
67            67            -0.0041       -2.7599       -2.764        -2.764        
68            68            +0.7344       -1.6006       -0.8662       -0.8662       
69            69            -0.7215       -2.6548       -3.3763       -3.3763       
70            70            +0.1526       -2.4809       -2.3283       -2.3283       
71            71            -1.4367       -3.5161       -4.9528       -4.9528       
72            72            -0.5939       -2.8332       -3.4271       -3.4271       
73            73            -0.0623       -2.6465       -2.7088       -2.7088       
74            74            -1.9002       -4.7287       -6.6289       -6.6289       
75            75            +0.5361       -5.1155       -4.5794       -4.5794       
76            76            -2.2827       -4.6637       -6.9464       -6.9464       
77            77            -1.6113       -4.3027       -5.914        -5.914        
78            78            -1.0679       -3.871        -4.9389       -4.9389       
79            79            -2.0801       -4.3884       -6.4685       -6.4685       
80            80            -1.7008       -4.4066       -6.1074       -6.1074       
81            81            -0.4895       -4.1243       -4.6138       -4.6138       
82            82            -1.2002       -4.8942       -6.0944       -6.0944       
83            83            -0.2182       -4.6253       -4.8435       -4.8435       
84            84            +0.3474       -4.6518       -4.3044       -4.3044       
85            85            +0.7158       -3.766        -3.0502       -3.0502       
86            86            -0.3693       -4.422        -4.7913       -4.7913       
87            87            +0.4564       -5.2974       -4.841        -4.841        
88            88            -3.535        -4.639        -8.174        -8.174        
89            89            -0.8907       -4.4712       -5.3619       -5.3619       
90            90            -0.3856       -3.3426       -3.7282       -3.7282       
91            91            -0.4339       -4.4548       -4.8887       -4.8887       
92            92            -1.3049       -4.3789       -5.6838       -5.6838       
93            93            +1.1972       -5.2126       -4.0154       -4.0154       
94            94            +2.2532       -5.0627       -2.8095       -2.8095       
95            95            -2.1504       -4.568        -6.7184       -6.7184       
96            96            -0.0735       -5.0626       -5.1361       -5.1361       
97            97            -1.8044       -4.4688       -6.2732       -6.2732       
98            98            +1.7941       -2.5984       -0.8043       -0.8043       
99            99            +0.9267       -4.6176       -3.6909       -3.6909       
100           100           +0.5574       -4.5167       -3.9593       -3.9593       
101           101           -0.2907       -4.9736       -5.2643       -5.2643       
102           102           +1.196        -4.3857       -3.1897       -3.1897       
103           103           -1.0278       -3.7167       -4.7445       -4.7445       
104           104           +0.1315       -4.3623       -4.2308       -4.2308       
105           105           +0.5336       -3.8736       -3.34         -3.34         
106           106           -1.5917       -4.7821       -6.3738       -6.3738       
107           107           -0.531        -3.7083       -4.2393       -4.2393       
108           108           -1.0624       -4.7612       -5.8236       -5.8236       
109           109           -0.6144       -4.8991       -5.5135       -5.5135       
110           110           -0.53         -4.4972       -5.0272       -5.0272       
111           111           -1.2405       -4.8253       -6.0658       -6.0658       
112           112           +0.796        -4.1822       -3.3862       -3.3862       
113           113           -0.295        -2.4877       -2.7827       -2.7827       
114           114           -0.619        -4.4272       -5.0462       -5.0462       
115           115           +0.8615       -5.1118       -4.2503       -4.2503       
116           116           +0.1375       -4.2406       -4.1031       -4.1031       
117           117           -1.1301       -4.8562       -5.9863       -5.9863       
118           118           -1.3889       -4.0324       -5.4213       -5.4213       
119           119           -2.2933       -5.0252       -7.3185       -7.3185       
120           120           +1.0579       -4.798        -3.7401       -3.7401       
121           121           -1.3864       -4.4309       -5.8173       -5.8173       
122           122           -0.8944       -4.7046       -5.599        -5.599        
123           123           -1.57         -3.2402       -4.8102       -4.8102       
124           124           +0.9089       -3.8872       -2.9783       -2.9783       
125           125           -1.8784       -4.6953       -6.5737       -6.5737       
126           126           +0.3376       -5.3095       -4.9719       -4.9719       
127           127           +0.2056       -4.8263       -4.6207       -4.6207       
128           128           -2.3887       -4.3948       -6.7835       -6.7835       
129           129           -1.0015       -4.5369       -5.5384       -5.5384       
130           130           +0.0003       -5.7088       -5.7085       -5.7085       
131           131           -0.7928       -4.4117       -5.2045       -5.2045       
132           132           -1.2498       -4.2742       -5.524        -5.524        
133           133           +1.1067       -3.1793       -2.0726       -2.0726       
134           134           -0.545        -4.1191       -4.6641       -4.6641       
135           135           +2.2807       -4.3367       -2.056        -2.056        
136           136           +0.6925       -4.9912       -4.2987       -4.2987       
137           137           -1.7043       -4.8262       -6.5305       -6.5305       
138           138           +1.2423       -4.5183       -3.276        -3.276        
139           139           -0.1206       -4.1912       -4.3118       -4.3118       
140           140           +1.0166       -4.6532       -3.6366       -3.6366       
141           141           +0.4421       -4.2349       -3.7928       -3.7928       
142           142           -1.7096       -4.7996       -6.5092       -6.5092       
143           143           +0.4976       -5.3991       -4.9015       -4.9015       
144           144           -0.7979       -3.6875       -4.4854       -4.4854       
145           145           +0.2068       -5.6372       -5.4304       -5.4304       
146           146           +3.0738       -3.8742       -0.8004       -0.8004       
147           147           +3.0591       -5.0361       -1.977        -1.977        
148           148           +1.0983       -4.0321       -2.9338       -2.9338       
149           149           -1.0795       -4.9262       -6.0057       -6.0057       
150           150           -0.3108       -5.925        -6.2358       -6.2358       
151           151           +0.7086       -5.0241       -4.3155       -4.3155       
152           152           -0.6779       -5.6397       -6.3176       -6.3176       
153           153           +0.083        -4.5495       -4.4665       -4.4665       
154           154           +1.6828       -1.437        +0.2458       +0.2458       
155           155           +1.139        -3.8261       -2.6871       -2.6871       
156           156           -0.1569       -4.483        -4.6399       -4.6399       
157           157           +3.244        -4.8302       -1.5862       -1.5862       
158           158           +2.116        -5.0616       -2.9456       -2.9456       
159           159           +0.7118       -2.3917       -1.6799       -1.6799       
160           160           +1.6415       -3.313        -1.6715       -1.6715       
161           161           +0.5621       -4.4248       -3.8627       -3.8627       
162           162           +1.5839       -4.1459       -2.562        -2.562        
163           163           +1.7772       -3.7761       -1.9989       -1.9989       
164           164           +0.481        -4.0764       -3.5954       -3.5954       
165           165           +0.6008       -3.1873       -2.5865       -2.5865       
166           166           +1.2299       -4.7467       -3.5168       -3.5168       
167           167           +0.4486       -3.8205       -3.3719       -3.3719       
168           168           +0.5354       -2.0987       -1.5633       -1.5633       
169           169           +0.4798       -3.2028       -2.723        -2.723        
170           170           -0.1253       -2.8204       -2.9457       -2.9457       
171           171           +0.8008       -3.3686       -2.5678       -2.5678       
172           172           +0.7486       -3.8651       -3.1165       -3.1165       
173           173           -0.7544       -3.0909       -3.8453       -3.8453       
174           174           +0.6565       -2.7644       -2.1079       -2.1079       
175           175           +0.1188       -4.0635       -3.9447       -3.9447       
176           176           +1.7499       -4.1934       -2.4435       -2.4435       
177           177           +0.4109       -3.6866       -3.2757       -3.2757       
178           178           +0.1648       -3.7969       -3.6321       -3.6321       
179           179           +0.076        -2.9339       -2.8579       -2.8579       
180           180           +0.5261       -3.1418       -2.6157       -2.6157       
181           181           +0.652        -2.3925       -1.7405       -1.7405       
182           182           -0.0146       -3.231        -3.2456       -3.2456       
183           183           +1.3537       -3.4394       -2.0857       -2.0857       
184           184           +0.7806       -3.1193       -2.3387       -2.3387       
185           185           -0.1373       -2.8674       -3.0047       -3.0047       
186           186           +0.5403       -3.1067       -2.5664       -2.5664       
187           187           +0.8827       -3.7581       -2.8754       -2.8754       
188           188           +0.7062       -3.785        -3.0788       -3.0788       
189           189           +0.668        -3.9517       -3.2837       -3.2837       
190           190           -1.2174       -3.2156       -4.433        -4.433        
191           191           -1.4292       -3.4374       -4.8666       -4.8666       
192           192           +0.0583       -3.5982       -3.5399       -3.5399       
193           193           +0.8599       -3.2965       -2.4366       -2.4366       
194           194           -0.2155       -2.4272       -2.6427       -2.6427       
195           195           -0.9487       -3.6424       -4.5911       -4.5911       
196           196           -0.6041       -4.0592       -4.6633       -4.6633       
197           197           +0.7669       -3.4116       -2.6447       -2.6447       
198           198           -0.0063       -2.4615       -2.4678       -2.4678       
199           199           -0.3203       -4.0293       -4.3496       -4.3496       
200           200           +1.4242       -4.428        -3.0038       -3.0038       
201           201           +0.6099       -3.6381       -3.0282       -3.0282       
202           202           +0.7261       -4.2336       -3.5075       -3.5075       
203           203           -0.2057       -4.0398       -4.2455       -4.2455       
204           204           +0.8401       -4.2199       -3.3798       -3.3798       
205           205           -0.3598       -4.1042       -4.464        -4.464        
206           206           +0.4451       -4.1401       -3.695        -3.695        
207           207           +0.7553       -4.3178       -3.5625       -3.5625       
208           208           +0.0256       -4.5528       -4.5272       -4.5272       
209           209           +0.7726       -4.079        -3.3064       -3.3064       
210           210           +0.2385       -3.618        -3.3795       -3.3795       
211           211           -0.3337       -4.2299       -4.5636       -4.5636       
212           212           +0.3777       -3.5651       -3.1874       -3.1874       
213           213           -0.1899       -4.0632       -4.2531       -4.2531       
214           214           +1.9153       -4.2969       -2.3816       -2.3816       
215           215           +0.5933       -3.1035       -2.5102       -2.5102       
216           216           +0.4672       -1.2231       -0.7559       -0.7559       
217           217           +1.7741       -2.9404       -1.1663       -1.1663       
218           218           +2.4005       -3.5208       -1.1203       -1.1203       
219           219           +0.0019       -3.7177       -3.7158       -3.7158       
220           220           -0.6106       -3.1227       -3.7333       -3.7333       
221           221           -0.7228       -3.2454       -3.9682       -3.9682       
222           222           -0.4837       -3.8777       -4.3614       -4.3614       
223           223           +0.8162       -3.9617       -3.1455       -3.1455       
224           224           +0.314        -3.9068       -3.5928       -3.5928       
225           225           +1.3449       -3.8809       -2.536        -2.536        
226           226           +0.3626       -4.1196       -3.757        -3.757        
227           227           +0.5018       -3.924        -3.4222       -3.4222       
228           228           +0.3511       -4.0848       -3.7337       -3.7337       
229           229           +0.1517       -4.2195       -4.0678       -4.0678       
230           230           +1.5197       -3.7201       -2.2004       -2.2004       
231           231           +0.5877       -4.1925       -3.6048       -3.6048       
232           232           +0.1934       -3.9084       -3.715        -3.715        
233           233           +0.8578       -4.4256       -3.5678       -3.5678       
234           234           -0.3984       -4.7187       -5.1171       -5.1171       
235           235           -0.8119       -3.1319       -3.9438       -3.9438       
236           236           +0.0025       -3.1876       -3.1851       -3.1851       
237           237           +1.5214       -3.3032       -1.7818       -1.7818       
238           238           -0.2639       -4.2208       -4.4847       -4.4847       
239           239           -0.2251       -3.7994       -4.0245       -4.0245       
240           240           +0.2382       -3.1269       -2.8887       -2.8887       
241           241           +0.138        -4.434        -4.296        -4.296        
242           242           +0.793        -2.4933       -1.7003       -1.7003       
243           243           -0.6656       -3.8446       -4.5102       -4.5102       
244           244           +0.5657       -3.5069       -2.9412       -2.9412       
245           245           +0.3807       -2.0788       -1.6981       -1.6981       
246           246           +0.2812       -2.9958       -2.7146       -2.7146       
247           247           -0.1598       -4.216        -4.3758       -4.3758       
248           248           +0.536        -2.4474       -1.9114       -1.9114       
249           249           +0.4504       -3.5899       -3.1395       -3.1395       
250           250           -0.0007       -3.5992       -3.5999       -3.5999       
251           251           +0.9594       -2.7899       -1.8305       -1.8305       
252           252           -0.0208       -4.6658       -4.6866       -4.6866       
253           253           -0.0883       -4.3444       -4.4327       -4.4327       
254           254           +0.6485       -3.7671       -3.1186       -3.1186       
255           255           +0.2219       -3.6947       -3.4728       -3.4728       
256           256           +1.2989       -4.2646       -2.9657       -2.9657       
257           257           -0.4767       -3.7255       -4.2022       -4.2022       
258           258           -0.3948       -3.8333       -4.2281       -4.2281       
259           259           +0.9667       -3.789        -2.8223       -2.8223       
260           260           -1.8877       -3.5296       -5.4173       -5.4173       
261           261           +1.8682       -3.6925       -1.8243       -1.8243       
262           262           +1.6907       -4.0754       -2.3847       -2.3847       
263           263           +2.2256       -3.6139       -1.3883       -1.3883       
264           264           +0.1281       -3.567        -3.4389       -3.4389       
265           265           +1.1669       -4.2559       -3.089        -3.089        
266           266           +1.9852       -1.9701       +0.0151       +0.0151       
267           267           +1.0427       -4.0679       -3.0252       -3.0252       
268           268           +1.0302       -4.0856       -3.0554       -3.0554       
269           269           +1.8383       -3.4178       -1.5795       -1.5795       
270           270           +0.6604       -3.6031       -2.9427       -2.9427       
271           271           -1.1641       -2.2059       -3.37         -3.37         
272           272           +0.7107       -3.5701       -2.8594       -2.8594       
273           273           +1.617        -3.5573       -1.9403       -1.9403       
274           274           +0.6887       -2.8146       -2.1259       -2.1259       
275           275           +0.5958       -3.7442       -3.1484       -3.1484       
276           276           +1.3194       -3.7759       -2.4565       -2.4565       
277           277           +1.1987       -2.3919       -1.1932       -1.1932       
278           278           +0.7502       -4.0339       -3.2837       -3.2837       
279           279           +1.0984       -3.0787       -1.9803       -1.9803       
280           280           +1.0591       -3.7191       -2.66         -2.66         
281           281           +1.1954       -4.0558       -2.8604       -2.8604       
282           282           +2.4309       -3.9019       -1.471        -1.471        
283           283           +0.9925       -3.7977       -2.8052       -2.8052       
284           284           +2.3908       -3.6886       -1.2978       -1.2978       
285           285           +1.1855       -2.6296       -1.4441       -1.4441       
286           286           +0.9837       -3.9342       -2.9505       -2.9505       
287           287           +1.3439       -3.1649       -1.821        -1.821        
288           288           +1.22         -3.7557       -2.5357       -2.5357       
289           289           +0.0069       -4.0857       -4.0788       -4.0788       
290           290           +0.676        -3.2788       -2.6028       -2.6028       
291           291           -0.5448       -3.8707       -4.4155       -4.4155       
292           292           +0.5052       -3.7239       -3.2187       -3.2187       
293           293           +0.4998       -4.0451       -3.5453       -3.5453       
294           294           +1.2938       -3.3087       -2.0149       -2.0149       
295           295           +1.7807       -3.453        -1.6723       -1.6723       
296           296           +2.3847       -2.0978       +0.2869       +0.2869       
297           297           +0.7128       -3.8087       -3.0959       -3.0959       
298           298           +0.5986       -3.9881       -3.3895       -3.3895       
299           299           +0.9907       -3.8777       -2.887        -2.887        
300           300           +2.47         -3.9488       -1.4788       -1.4788       
301           301           -0.0961       -3.7177       -3.8138       -3.8138       
302           302           +1.7396       -2.7179       -0.9783       -0.9783       
303           303           -0.0905       -2.9338       -3.0243       -3.0243       
304           304           +1.353        -3.8607       -2.5077       -2.5077       
305           305           +0.5118       -3.4601       -2.9483       -2.9483       
306           306           +1.4269       -4.3429       -2.916        -2.916        
307           307           +1.2565       -3.928        -2.6715       -2.6715       
308           308           +0.7922       -3.888        -3.0958       -3.0958       
309           309           +0.8856       -3.3621       -2.4765       -2.4765       
310           310           +1.5821       -4.0102       -2.4281       -2.4281       
311           311           -0.1769       -2.6083       -2.7852       -2.7852       
312           312           +0.997        -2.7664       -1.7694       -1.7694       
313           313           -1.8117       -3.2309       -5.0426       -5.0426       
314           314           +0.5525       -1.9252       -1.3727       -1.3727       
315           315           +1.8389       -2.4921       -0.6532       -0.6532       
316           316           -0.9902       -2.1537       -3.1439       -3.1439       
317           317           +0.4604       -1.6337       -1.1733       -1.1733       
318           318           -0.0963       -2.2197       -2.316        -2.316        
319           319           +1.1679       -2.4549       -1.287        -1.287        
320           320           -0.9886       -2.6529       -3.6415       -3.6415       
321           321           +1.0615       -1.0532       +0.0083       +0.0083       
322           322           +0.184        -1.6164       -1.4324       -1.4324       
323           323           +0.2451       -0.91         -0.6649       -0.6649       
324           324           +0.484        -2.5131       -2.0291       -2.0291       
325           325           +1.2886       -2.8233       -1.5347       -1.5347       
326           326           +0.6613       -2.8862       -2.2249       -2.2249       
327           327           +0.0929       -1.9378       -1.8449       -1.8449       
328           328           -0.0404       -2.2476       -2.288        -2.288        
329           329           +0.0557       -1.9869       -1.9312       -1.9312       
330           330           -0.3241       -1.4429       -1.767        -1.767        
331           331           -0.731        -0.7252       -1.4562       -1.4562       
332           332           -0.6775       -1.8215       -2.499        -2.499        
333           333           -2.103        -1.3765       -3.4795       -3.4795       
334           334           -1.8082       -1.9993       -3.8075       -3.8075       
335           335           -1.3552       -1.7667       -3.1219       -3.1219       
336           336           -2.1275       -1.6989       -3.8264       -3.8264       
337           337           -1.4726       -0.8349       -2.3075       -2.3075       
338           338           -3.1792       -1.0336       -4.2128       -4.2128       
339           339           -1.507        -2.2912       -3.7982       -3.7982       
