Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
42	0.558283727	0.692640633	0.748749859		42	8.4	31.98730134	39.68538496	42.90020682	8.4	31.25603507	38.26496129	41.85290383
43	0.531618449	0.619215963	0.656345699		43	8.6	30.45949345	35.47846131	37.60583845	8.6	31.01707259	37.4290113	40.57878422
44	0.504435248	0.545779479	0.667391151		44	8.8	28.90201074	31.27086067	38.23869626	8.8	30.38255403	35.58156611	39.87675783
45	0.49175688	0.522711646	0.679418617		45	9	28.17559376	29.94917121	38.92781928	9	29.72046595	33.89184764	39.59207626
46	0.514135163	0.563236611	0.739232837		46	9.2	29.45777495	32.27108066	42.35492162	9.2	29.64165865	33.40561755	40.42092987
47	0.538229214	0.638760559	0.687059189		47	9.4	30.83826238	36.59828414	39.36559183	9.4	30.00063977	34.36341753	40.10432846
48	0.50349467	0.585002614	0.701142846		48	9.6	28.84811958	33.51818076	40.17252591	9.6	29.65488371	34.1098465	40.12478769
49	0.514180827	0.605776883	0.684919652		49	9.8	29.46039127	34.70845871	39.24300538	9.8	29.59653598	34.28943016	39.860253
50	0.499205365	0.577901932	0.745464247		50	10	28.60236052	33.11134168	42.71195511	10	29.29828334	33.93600362	40.71576363
51	0.489408953	0.550605395	0.71502698		51	10.2	28.04106747	31.54736529	40.96802817	10.2	28.92111858	33.21941212	40.79144299
52	0.487890589	0.684619864	0.669699827		52	10.4	27.9540716	39.22582878	38.37097363	10.4	28.63100449	35.02133712	40.06530218
53	0.457236159	0.641110284	0.651263348		53	10.6	26.19770218	36.73291346	37.3146412	10.6	27.9010138	35.53481002	39.24010389
54	0.6194565	0.635836211	0.709196752		54	10.8	35.49224302	36.43073137	40.63398073	10.8	30.17838256	35.80358642	39.65826694
55	0.580101228	0.614910829	0.743690688		55	11	33.23735205	35.23179529	42.61033769	11	31.09607341	35.63204909	40.54388817
56	0.570882531	0.638515013	0.713003846		56	11.2	32.70915961	36.5842154	40.85211114	11.2	31.57999927	35.91769898	40.63635506
57	0.486435836	0.669110317	0.725139366		57	11.4	27.87072039	38.3371972	41.54742523	11.4	30.46721561	36.64354845	40.90967611
58	0.539528379	0.642236447	0.741045246		58	11.6	30.91269907	36.79743787	42.45876502	11.6	30.60086065	36.68971527	41.37440279
59	0.54030683	0.614373673	0.75428949		59	11.8	30.95730102	35.20101848	43.21760432	11.8	30.70779276	36.24310624	41.92736325
60	0.551609381	0.609077255	0.653441612		60	12	31.60488945	34.89755608	37.43944651	12	30.97692177	35.83944119	40.58098822
61	0.52058954	0.549563221	0.697227501		61	12.2	29.82758348	31.48765315	39.94819318	12.2	30.63212028	34.53390478	40.39114971
62	0.508918478	0.525453209	0.722348906		62	12.4	29.1588809	30.1062512	41.38754364	12.4	30.19014847	33.20560871	40.69006789
63	0.493499093	0.53582084	0.680524415		63	12.6	28.27541525	30.7002727	38.99117686	12.6	29.6157285	32.4540079	40.18040058
64	0.460769949	0.614094669	0.682293318		64	12.8	26.40017339	35.18503275	39.0925275	12.8	28.65106197	33.27331536	39.85403866
